,name,establishment,url,address,city,locality,zipcode,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes
2535,Madhavrao,['Casual Dining'],https://www.zomato.com/ahmedabad/madhavrao-2-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"8,9, Parshwanath Buisness park, Prahlad Nagar Road, Ahmedabad",Ahmedabad,Prahlad Nagar,380015,"Prahlad Nagar, Ahmedabad","Maharashtrian, Gujarati",11 AM to 11 PM,600,2,"['Delivery', 'No Alcohol Available', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.0,Very Good,540
2536,The Grand Thakar,['Casual Dining'],https://www.zomato.com/ahmedabad/the-grand-thakar-satellite?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Above Vijay Sales, Iskon Crossroads, Satellite, Ahmedabad",Ahmedabad,Satellite,,"Satellite, Ahmedabad","Gujarati, North Indian, Chinese","11:30 AM to 3:30 PM, 7:30 PM to 11 PM",700,2,"['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Dinner', 'Pure Veg', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required']",4.4,Very Good,1021
2537,McDonald's,['Quick Bites'],https://www.zomato.com/ahmedabad/mcdonalds-ashram-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, City Gold Multiplex, Ashram Road, Ahmedabad",Ahmedabad,Ashram Road,0,"Ashram Road, Ahmedabad","Burger, Fast Food",9 AM to 1 AM,500,2,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Sodexo', 'Ticket Restaurant', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",3.9,Good,543
2538,The Blue Oven,['Casual Dining'],https://www.zomato.com/ahmedabad/the-blue-oven-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7, Amrapali Lake View Tower, Opposite Alpha One Mall, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,380015,"Vastrapur, Ahmedabad","Pizza, Italian",11 AM to 11 PM,700,2,"['Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned', 'Wifi', 'Live Sports Screening', 'Table booking recommended']",4.3,Very Good,858
2539,Lijjat Khaman,['Quick Bites'],https://www.zomato.com/ahmedabad/lijjat-khaman-mani-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kankaria Road, Under Ichabens Wadi, Pushpkunj, Mani Nagar, Ahmedabad",Ahmedabad,Mani Nagar,0,"Mani Nagar, Ahmedabad",Street Food,8:30 AM to 8:30 PM (Mon-Sun),100,1,"['Takeaway Available', 'Breakfast', 'Cash', 'No Seating Available', 'Standing Tables', 'Delivery', 'Free Parking', 'Pure Veg']",4.6,Excellent,582
2540,Domino's Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/dominos-pizza-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Ground Floor, Sachet 1, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,0,"Navrangpura, Ahmedabad","Pizza, Fast Food",10:57 AM to 3 AM,400,2,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Sodexo', 'Free Parking', 'Indoor Seating', 'Ticket Restaurant', 'Air Conditioned', 'Pure Veg']",3.6,Good,985
2541,Standard's Punjabi Khana,['Quick Bites'],https://www.zomato.com/ahmedabad/standards-punjabi-khana-satellite?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"33 - 34 E, Ground Floor, Titanium City Center, 100 Ft Road, Satellite, Ahmedabad .",Ahmedabad,Satellite,,"Satellite, Ahmedabad","North Indian, Chinese, Gujarati",11 AM to 11 PM,450,2,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.6,Good,1153
2542,Yanki Sizzlers,['Casual Dining'],https://www.zomato.com/ahmedabad/yanki-sizzlers-c-g-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"HL College Road, Opposite Naran Park Society, Commerce Six Roads, C G Road, Ahmedabad",Ahmedabad,C G Road,,"C G Road, Ahmedabad","Continental, Italian, Chinese, Mexican","Mon-Sun (12 Noon to 3 PM, 7 PM to 11 PM)",1200,3,"['Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Live Entertainment', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food', 'Live Sports Screening', 'Digital Payments Accepted', 'Pure Veg']",4.9,Excellent,1009
2543,Domino's Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/dominos-pizza-naranpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G 5, Shivalik Yash, 132 Feet Ring Road, Naranpura, Ahmedabad",Ahmedabad,"Shivalik Yash, Naranpura",0,"Shivalik Yash, Naranpura, Ahmedabad","Pizza, Fast Food",10:57 AM to 11 PM,400,2,"['Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Free Parking', 'Indoor Seating', 'Sodexo', 'Ticket Restaurant', 'Air Conditioned', 'Pure Veg']",3.8,Good,1045
2544,The Chocolate Room,['Café'],https://www.zomato.com/ahmedabad/the-chocolate-room-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"5-7, Ground Floor, University Plaza, Near Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,0,"Navrangpura, Ahmedabad",Cafe,9 AM to 11 PM,700,2,"['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Delivery', 'Sodexo', 'Free Wifi', 'Axis Bank - Dining Delights', 'Wifi', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,Very Good,655
2545,9834 The Fruit Truck,['Food Truck'],https://www.zomato.com/9834-the-fruit-truck-food-truc?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"9834, Shop 23, Shivalay 2, Jodupur Village, Satellite, Ahmedabad",Ahmedabad,Food Truck Park,,"Food Truck Park, Ahmedabad","Beverages, Desserts",9 AM to 1 AM,400,2,"['Takeaway Available', 'Dinner', 'Cash', 'Delivery', 'Outdoor Seating', 'Digital Payments Accepted', 'Smoking Area', 'Pure Veg']",4.4,Very Good,607
2546,Iqbal Hotel,['Casual Dining'],https://www.zomato.com/ahmedabad/iqbal-hotel-jamalpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Chhipawad, Near Panchpipli Post Office, Jamalpur, Ahmedabad",Ahmedabad,Jamalpur,380001,"Jamalpur, Ahmedabad","North Indian, Mughlai",10am – 11:30pm (Mon-Sun),600,2,"['Dinner', 'Cash', 'Delivery', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Table booking recommended', 'Air Conditioned', 'Smoking Area']",3.9,Good,549
2547,Anwar E Hilal,['Casual Dining'],https://www.zomato.com/ahmedabad/anwar-e-hilal-jamalpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4178/1, Opposite Municipal Corporation, Nadiawad, Gollimda, Jamalpur, Ahmedabad",Ahmedabad,Jamalpur,380001,"Jamalpur, Ahmedabad",North Indian,5:30am – 11:30pm (Mon-Sun),600,2,"['Lunch', 'Delivery', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Table booking not available']",3.6,Good,276
2548,Kurtosshhh,['Quick Bites'],https://www.zomato.com/ahmedabad/kurtosshhh-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 9, Ground Floor, Riviera Arcade, Near Union Bank, 100 Feet Road, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,380015,"Prahlad Nagar, Ahmedabad","Fast Food, Desserts",11:30am – 11:30pm (Mon-Sun),600,2,"['Lunch', 'Takeaway Available', 'Debit Card', 'Cash', 'Credit Card', 'Free Parking', 'Air Conditioned', 'Indoor Seating']",4.2,Very Good,21
2549,Karnavati Dabeli,['Quick Bites'],https://www.zomato.com/ahmedabad/karnavati-dabeli-naroda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"GF 10, Murtidham Park, Opposite Raspan Party, Near Kunj Mall, Nikol, Naroda, Ahmedabad",Ahmedabad,Naroda,,"Naroda, Ahmedabad","Street Food, Fast Food",11 AM to 11 PM,200,1,"['Takeaway Available', 'Cash', 'Outdoor Seating', 'Digital Payments Accepted', 'Pure Veg']",3.7,Good,30
2550,Shree Sikotar Restaurant,['Quick Bites'],https://www.zomato.com/ahmedabad/shree-sikotar-restaurant-1-vastral?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Beside Satva Icon Complex, Swyambhu Hospital Road, Vastral Circle, Vastral, Ahmedabad",Ahmedabad,Vastral,382418,"Vastral, Ahmedabad","Gujarati, North Indian, Chinese","11:30am – 3:30pm, 6:30pm – 11:30pm (Mon-Fri),11am – 3:30pm, 6:30pm – 12midnight (Sat-Sun)",300,1,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",3.6,Good,65
2551,Hotel Winsome,['Quick Bites'],https://www.zomato.com/ahmedabad/hotel-winsome-isanpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"8/A, Calico Nagar, Sarkhej Road, Isanpur, Ahmedabad",Ahmedabad,Isanpur,,"Isanpur, Ahmedabad",North Indian,"11 AM to 4 PM, 7 PM to 11 PM",500,2,"['Delivery', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Air Conditioned', 'Serves Jain Food', 'Indoor Seating', 'Pure Veg']",3.6,Good,82
2552,Urban Grill,['Quick Bites'],https://www.zomato.com/ahmedabad/urban-grill-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Stall D-6, Opposite Babul Party Plot, Sindhu Bhavan Marg, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Burger, Fast Food","7 AM to 3 AM (Mon), 1 PM to 3 AM (Tue-Sun)",550,2,"['Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Self Service']",3.8,Good,17
2553,Food On Wheels,[],https://www.zomato.com/ahmedabad/food-on-wheels-memnagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Aaditya Nath, C/O Jayant Park, Behind Vishram Nagar, Gurukul, Memnagar, Ahmedabad",Ahmedabad,Memnagar,,"Memnagar, Ahmedabad","North Indian, Fast Food",7 PM to 5 AM,300,1,"['Dinner', 'Delivery', 'Cash', 'Takeaway Available']",3.5,Good,93
2554,The Orchid,['Casual Dining'],https://www.zomato.com/ahmedabad/the-orchid-odhav?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Madhav Orchid Complex, Odhav, Ahmedabad",Ahmedabad,Odhav,,"Odhav, Ahmedabad","North Indian, Chinese, Continental",11 AM to 11 PM,700,2,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating']",3.5,Good,48
2555,Havmor - The Eatery,['Quick Bites'],https://www.zomato.com/ahmedabad/havmor-the-eatery-2-bopal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"22, Amrapali Complex, Amali Bopal Cross Road, Bopal, Ahmedabad",Ahmedabad,Bopal,,"Bopal, Ahmedabad","Fast Food, Street Food, Desserts, Ice Cream, Beverages",11 AM to 11 PM (Mon-Sun),600,2,"['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Serves Jain Food', 'Desserts and Bakes', 'Free Parking', 'Sodexo', 'Digital Payments Accepted', 'Pure Veg']",3.7,Good,178
2556,Rp's Pizzeria,['Quick Bites'],https://www.zomato.com/ahmedabad/rps-pizzeria-paldi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 6, Scarlett Business Hub, Oppodsite Ankur School, Near Mahalaxmi Cross Road, Paldi, Ahmedabad",Ahmedabad,Paldi,,"Paldi, Ahmedabad","Pizza, Italian",11 AM to 12 Midnight,550,2,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Free Parking', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.9,Good,188
2557,Fullfills,['Casual Dining'],https://www.zomato.com/ahmedabad/fullfills-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G2, Ground Floor, Yash Aqua, Vijay Char Rasta, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Continental, Fast Food",Mon-Sun (11 AM to 11 PM),600,2,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Debit Card', 'Indoor Seating', 'Kid Friendly', 'Brunch', 'Air Conditioned', 'Pure Veg']",4.3,Very Good,338
2558,Emerald,['Casual Dining'],https://www.zomato.com/ahmedabad/emerald-naroda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Sai Avenue, Near Galaxy, NH 8, Naroda, Ahmedabad",Ahmedabad,Naroda,0,"Naroda, Ahmedabad","Chinese, North Indian, Beverages","11 AM to 3 PM, 7 PM to 10:30 PM",800,3,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",3.8,Good,166
2559,Mouthful Crunch,['Quick Bites'],https://www.zomato.com/ahmedabad/mouthful-crunch-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite H.L Campus, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad",Fast Food,"11:30am – 12:30AM (Mon),11:30am – 11:30pm (Tue-Sun)",200,1,"['Dinner', 'Delivery', 'Cash', 'Takeaway Available', 'Free Parking', 'Digital Payments Accepted', 'Pure Veg', 'Outdoor Seating', 'Serves Jain Food']",4.0,Very Good,94
